,time_stamp,heart_rate,eyebrow_flag,head_position_flag,eye_position_flag,predicted_stress_label,non_ml_flag
98,2023-01-09 21:34:02.256611,72.72727272727273,low_stress,head_right,,0.0,
99,2023-01-09 21:34:03.034284,72.0,high_stress,head_right,,0.0,
100,2023-01-09 21:34:04.303605,89.10891089108911,high_stress,head_right,,0.0,
101,2023-01-09 21:34:05.300453,88.23529411764707,high_stress,head_right,,0.0,
102,2023-01-09 21:34:06.677160,87.37864077669904,high_stress,head_right,,0.0,
103,2023-01-09 21:34:07.707891,86.53846153846152,high_stress,,,0.0,
104,2023-01-09 21:34:08.454934,85.71428571428571,high_stress,head_right,,0.0,
105,2023-01-09 21:34:09.443467,84.90566037735849,high_stress,head_right,,0.0,
106,2023-01-09 21:34:10.748932,84.11214953271029,low_stress,head_right,,0.0,
107,2023-01-09 21:34:11.561045,83.33333333333333,high_stress,,,0.0,
108,2023-01-09 21:34:13.070830,66.05504587155964,high_stress,head_left,looking_up,0.0,
109,2023-01-09 21:34:13.854539,65.45454545454547,high_stress,,,0.0,
110,2023-01-09 21:34:14.826874,64.86486486486487,high_stress,head_right,looking_up,0.0,
111,2023-01-09 21:34:15.686317,64.28571428571428,low_stress,head_left,looking_up,0.0,
112,2023-01-09 21:34:17.151720,63.71681415929204,low_stress,,,0.0,
113,2023-01-09 21:34:18.396834,63.1578947368421,low_stress,,looking_up,0.0,
114,2023-01-09 21:34:19.224056,62.608695652173914,low_stress,head_right,looking_up,0.0,
115,2023-01-09 21:34:20.043750,62.06896551724138,high_stress,,looking_up,0.0,
116,2023-01-09 21:34:20.833964,61.53846153846155,high_stress,,looking_up,0.0,
117,2023-01-09 21:34:21.821521,61.01694915254237,high_stress,head_right,looking_up,0.0,
118,2023-01-09 21:34:22.764825,60.50420168067227,high_stress,,looking_up,0.0,
119,2023-01-09 21:34:23.610645,60.0,low_stress,,looking_up,0.0,
120,2023-01-09 21:34:24.587247,89.25619834710743,low_stress,,looking_up,0.0,
121,2023-01-09 21:34:25.946230,88.52459016393443,low_stress,head_left,looking_up,0.0,
122,2023-01-09 21:34:27.116774,87.8048780487805,high_stress,head_left,,0.0,
123,2023-01-09 21:34:28.157830,87.0967741935484,low_stress,head_left,looking_up,0.0,
124,2023-01-09 21:34:29.025302,86.39999999999999,low_stress,head_left,looking_up,0.0,
125,2023-01-09 21:34:30.414025,85.71428571428571,low_stress,,,0.0,
126,2023-01-09 21:34:31.816686,85.03937007874015,low_stress,,,0.0,
127,2023-01-09 21:34:32.563797,84.375,low_stress,,,0.0,
128,2023-01-09 21:34:33.558265,69.76744186046513,low_stress,,,0.0,
129,2023-01-09 21:34:34.482671,69.23076923076924,low_stress,,looking_up,0.0,
130,2023-01-09 21:34:36.474945,68.70229007633588,low_stress,,looking_up,0.0,
131,2023-01-09 21:34:47.115930,68.18181818181817,low_stress,,looking_up,0.0,
